Feature ID	Taxon	Confidence
2605da6501fc62aaec0572060a1e32f2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9999338171404699
dd9cc81970eb2363e3ed9f14dfcb2510	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999999968021
940413b6781f4759dae7763613bed032	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	0.9999920603424693
2c65863f5701a29a45dd1fc16d0390bb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae; g__Photobacterium	0.9999670016996569
e68a3aab4b42fbc8f3065e83570aeccd	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria	0.9999999999902387
287f5738d7d463ecafde1e5042d7bb47	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus	0.9996256086031777
7f4f98ace37822c0bef539d08cd9799e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9984126539829703
86b5436dfde91d3002ec0cd00ac36861	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.9305747498235617
3f16e1ce4ec1c05e4d6dd076a51159f0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9999665048882624
f49b0d0102f11cf94b4f84b504301096	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella	0.9999694132163615
6f8aeb4c81f4192073ab02aca87944af	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Latilactobacillus	0.9994869837263559
dec18fb177e0b0d0aaf24e416374e8bf	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0.9979124540263316
372d7ded9107b329b1ac0ea312532d3b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	0.9999993394549986
47f0adf7be9602dc2a2a39de19c5d4e8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium	0.8423017746164567
4c00a960ac2926363deac2df501f02b3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium	0.9873480874456891
d01f3e0c755a86f24417193ec9206c1a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella	0.9999947127905332
32bbf1df8c987a714e36ecc5e055ca8e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	0.9999955921101229
e24bb6ac9b4b2f5e2ced5323191b063e	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999999679081
f89e301ca2afccc9b99196267503a931	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	0.92827751536085
5b2714980fc09dbf43fa71467b11d083	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999999285097
4c3c3c9432fe22f22a2c8b215c5ade16	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Aegypius_monachus	0.7486131180910023
d9b256a97dbd0c083aa0d987fe7ff5bb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9999393973678571
bf575d29a2f30eeb8cefbd2172332d8b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae; g__Photobacterium	0.9999523058694051
aae2c8ff3ea7ab12e24df441234647d9	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Latilactobacillus	0.7996332853887035
14b5e4123e0f3c4ae869b7266934a15f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9999690750727189
a4c9f8de19657f3915c2bb97393ffc25	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Wautersiella; s__Wautersiella_falsenii	0.734986535034532
401dbb732ba78b810acea1f457955909	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999999832111
