#isolate.id individual id of the isolate				
#sample.id sample id where the isolate is from				
#medium cultivation medium				
#temp cultivation temperature				
#oxygen conditions of the cultivation				
isolate.id	sample.id	medium	temp	oxygen
AXB_029.27F	B5	columbia	37	aerobic
AXB_030.27F	B5	columbia	37	aerobic
AXB_031.27F	B5	columbia	37	aerobic
AXB_032.27F	B5	columbia	37	aerobic
AXB_033.27F	B5	columbia	37	aerobic
AXB_034.27F	A1	columbia	37	aerobic
AXB_035.27F	A1	columbia	37	aerobic
AXB_036.27F	A1	columbia	37	aerobic
AXB_037.27F	A1	columbia	37	aerobic
AXB_038.27F	A1	columbia	37	aerobic
AXB_039.27F	A1	columbia	37	aerobic
AXB_040.27F	A1	columbia	37	aerobic
AXB_041.27F	A1	columbia	37	aerobic
AXB_042.27F	A1	columbia	37	aerobic
AXB_043.27F	A2	columbia	37	aerobic
AXB_044.27F	A3	columbia	37	aerobic
AXB_045.27F	A4	columbia	37	aerobic
AXB_046.27F	A7	columbia	37	aerobic
AXB_047.27F	B2	columbia	37	aerobic
AXB_048.27F	B2	columbia	37	aerobic
AXB_049.27F	C5	columbia	37	aerobic
AXB_050.27F	D1	columbia	37	aerobic
AXB_051.27F	D2	columbia	37	aerobic
AXB_052.27F	D3	columbia	37	aerobic
AXB_053.27F	D3	columbia	37	aerobic
AXB_054.27F	D3	columbia	37	aerobic
AXB_055.27F	D8	columbia	37	aerobic
AXB_055a.27F	A8	columbia	37	aerobic
AXB_056.27F	A2	columbia	37	aerobic
AXB_057.27F	B6	columbia	37	aerobic
AXB_058.27F	B7	columbia	37	aerobic
AXB_059.27F	C5	columbia	37	aerobic
AXB_060.27F	C8	columbia	37	aerobic
AXB_061.27F	D2	columbia	37	aerobic
AXB_062.27F	D2	columbia	37	aerobic
AXB_063.27F	D2	columbia	37	aerobic
AXB_064.27F	D2	columbia	37	aerobic
AXB_065.27F	D5	columbia	37	aerobic
AXB_066.27F	D6	columbia	37	aerobic
AXB_067.27F	D7	columbia	37	aerobic
AXB_068.27F	D8	columbia	37	aerobic
AXB_069.27F	D8	columbia	37	aerobic
AXB_070.27F	D8	columbia	37	aerobic
AXB_071.27F	A3	columbia	37	aerobic
AXB_072.27F	A4	columbia	37	aerobic
AXB_073.27F	A5	columbia	37	aerobic
AXB_074.27F	A7	columbia	37	aerobic
